Index,場所,謝罪対象,理由,謝罪1,謝罪2,謝罪3,謝罪4
3,サークルの部室,サークルの先輩2人,3人のミーティングに寝坊して15分遅刻した,申し訳ありませんでした,すみませんでした,すみません,申し訳ないです
5,家,親,家の鍵をなくして帰ってきた,ごめんなさい,ごめん,ごめんね,
6,家,親,サークルの合宿が入ってしまい家族旅行に参加できなくなった,ごめん,ごめんなさい,ごめんね,
7,研究室,親しい教授,借りた本にコーヒーをこぼしてしまった,申し訳ありません,申し訳ありませんでした,すみません,すみませんでした
10,教室,あまり親しくない教授,課題を一週間遅れで提出する,申し訳ありませんでした,申し訳ありません,すみませんでした,
11,アルバイト先の洋服屋,客,他のサイズがないか聞かれて、裏に探しに行ったがなかった,申し訳ありません,申し訳ないです,申し訳ありませんでした,すみませんでした
13,試験後の廊下,再履修の先輩,再履修の先輩に試験の教室を聞かれた際に、間違った場所を教えてしまったのでその先輩が試験(40分間)に10分遅刻した,すみませんでした,申し訳ないです,ごめんなさい,すみません
14,授業前の教室,一緒に授業を受けている先輩,借りていたノートを提出期限日の授業開始前に返そうと思っていたが、家に忘れてきてしまい、先輩が提出できない,申し訳ないです,すみませんでした,すみません,ごめんなさい
15,授業前の教室,友達,3日後に2人で遊ぶ約束をしていたが行けなくなった,ごめん,ごめんね,,
19,アルバイト先のコンビニのスタッフルーム,店長,あさってのシフトに入れなくなった,申し訳ありません,申し訳ないです,すみません,
22,ラウンジ,サークルのメンバー(複数人;同期と後輩,新歓のビラ作成に30分遅刻した,ごめん,ごめんなさい,ごめんね,
23,ラウンジ,同じ授業の受講者(ほぼ初対面),一緒に作っていた授業のプレゼンのパワーポイントを誤って消してしまって、2時間分の作業が無駄になった,ごめんなさい,申し訳ないです,すみませんでした,ごめん
24,ラウンジ,サークルの同期,一緒に作っていたプレゼンのパワーポイントを誤って消してしまって、2時間分の作業が無駄になった,ごめん,ごめんね,ごめんなさい,すみませんでした
