filename,subject,q1,q2,q3,q4,mora,word,initial_tone,final_tone,accented_mora,mora_dur,mora_int,mora_f0_max,word_dur,word_int,word_f0_range
P20211210_16_46_Q003_T17_53_34,P20211210_16_46,62,81,33,1,su,sumimasendesita,%L,L%,se,0.10077359707191791,43.64220007909423,--undefined--,0.7290956295150477,58.95524692703462,63.786264354073
P20211210_16_46_Q003_T17_53_34,P20211210_16_46,62,81,33,1,mi,sumimasendesita,%L,L%,se,0.08790877400507857,57.10256190248215,142.63683564064723,0.7290956295150477,58.95524692703462,63.786264354073
P20211210_16_46_Q003_T17_53_34,P20211210_16_46,62,81,33,1,ma,sumimasendesita,%L,L%,se,0.05601256893472639,59.20137663221428,142.77514925531366,0.7290956295150477,58.95524692703462,63.786264354073
P20211210_16_46_Q003_T17_53_34,P20211210_16_46,62,81,33,1,se,sumimasendesita,%L,L%,se,0.14525645314306468,58.339115008512074,156.41974041270666,0.7290956295150477,58.95524692703462,63.786264354073
P20211210_16_46_Q003_T17_53_34,P20211210_16_46,62,81,33,1,n,sumimasendesita,%L,L%,se,0.03654742003289413,54.96454245402507,144.34839930464474,0.7290956295150477,58.95524692703462,63.786264354073
P20211210_16_46_Q003_T17_53_34,P20211210_16_46,62,81,33,1,de,sumimasendesita,%L,L%,se,0.08668917903964601,57.73617114874761,129.9126176464346,0.7290956295150477,58.95524692703462,63.786264354073
P20211210_16_46_Q003_T17_53_34,P20211210_16_46,62,81,33,1,si,sumimasendesita,%L,L%,se,0.06950866355662466,56.62122120281457,--undefined--,0.7290956295150477,58.95524692703462,63.786264354073
P20211210_16_46_Q003_T17_53_34,P20211210_16_46,62,81,33,1,ta,sumimasendesita,%L,L%,se,0.14639897373109534,62.896106775359335,108.94367435370229,0.7290956295150477,58.95524692703462,63.786264354073
P20211210_16_46_Q005_T17_18_30,P20211210_16_46,44,60,20,1,go,gomen,%L,L%,me,0.0807445156124244,47.77428766465364,123.394407755845,0.41587776102589785,53.092825926710596,28.65318400645954
P20211210_16_46_Q005_T17_18_30,P20211210_16_46,44,60,20,1,me,gomen,%L,L%,me,0.23400825116152757,54.75452387314518,130.3329600188296,0.41587776102589785,53.092825926710596,28.65318400645954
P20211210_16_46_Q005_T17_18_30,P20211210_16_46,44,60,20,1,n,gomen,%L,L%,me,0.10112499425194588,49.95200052171889,116.93309813193912,0.41587776102589785,53.092825926710596,28.65318400645954
P20211210_16_46_Q006_T17_51_35,P20211210_16_46,28,82,26,1,go,gomen,%L,L%,me,0.08313478799944674,54.386291046073474,120.07743551849008,0.34569876054675186,56.98492128972228,39.658454148796366
P20211210_16_46_Q006_T17_51_35,P20211210_16_46,28,82,26,1,me,gomen,%L,L%,me,0.18535207212039706,58.512016045736004,137.32422666465416,0.34569876054675186,56.98492128972228,39.658454148796366
P20211210_16_46_Q006_T17_51_35,P20211210_16_46,28,82,26,1,n,gomen,%L,L%,me,0.07721190042690806,53.736132293749286,119.93385805090439,0.34569876054675186,56.98492128972228,39.658454148796366
P20211210_16_46_Q007_T17_32_09,P20211210_16_46,92,96,18,1,mo,moosiwakearimasendesita,%L,L%,se,0.06381171891148485,50.491097239377694,124.83364972257246,1.1961134673587066,56.51196135810535,509.75671997034635
P20211210_16_46_Q007_T17_32_09,P20211210_16_46,92,96,18,1,o,moosiwakearimasendesita,%L,L%,se,0.03441965444316453,52.98326923125137,120.31122422999665,1.1961134673587066,56.51196135810535,509.75671997034635
P20211210_16_46_Q007_T17_32_09,P20211210_16_46,92,96,18,1,si,moosiwakearimasendesita,%L,L%,se,0.12839691320371505,57.97597945286307,112.32129858877322,1.1961134673587066,56.51196135810535,509.75671997034635
P20211210_16_46_Q007_T17_32_09,P20211210_16_46,92,96,18,1,wa,moosiwakearimasendesita,%L,L%,se,0.05182285050993318,60.00407088949662,108.38448858667202,1.1961134673587066,56.51196135810535,509.75671997034635
